"2222000000FAYETTEVILLE-SPRINGDALE-ROGERS, AR                GSE  S03000000726200092985011239001396800AR007ARKANSAS                  BENTON                 2023010103000002022"
"2546000000HARRISON, AR                                      GSE  S01720000726200092985011239001396800AR009ARKANSAS                  BOONE                  2023010101720002022"
9999900000NON-METRO                                         GSE  S00660000726200092985011239001396800AR011ARKANSAS                  BRADLEY                2023010100660002022
"1578000000CAMDEN, AR                                        GSE  S00800000726200092985011239001396800AR013ARKANSAS                  CALHOUN                2023010101730002009"
9999900000NON-METRO                                         GSE  S01550000726200092985011239001396800AR015ARKANSAS                  CARROLL                2023010101550002021
9999900000NON-METRO                                         GSE  S00500000726200092985011239001396800AR017ARKANSAS                  CHICOT                 2023010101190002008
"1166000000ARKADELPHIA, AR                                   GSE  S02110000726200092985011239001396800AR019ARKANSAS                  CLARK                  2023010102110002022"
9999900000NON-METRO                                         GSE  S01080000726200092985011239001396800AR021ARKANSAS                  CLAY                   2023010101080002022
9999900000NON-METRO                                         GSE  S01490000726200092985011239001396800AR023ARKANSAS                  CLEBURNE               2023010101490002022
"3822000000PINE BLUFF, AR                                    GSE  S01330000726200092985011239001396800AR025ARKANSAS                  CLEVELAND              2023010101330002022"
"3162000000MAGNOLIA, AR                                      GSE  S01190000726200092985011239001396800AR027ARKANSAS                  COLUMBIA               2023010101190002022"
9999900000NON-METRO                                         GSE  S01540000726200092985011239001396800AR029ARKANSAS                  CONWAY                 2023010101540002022
"2786000000JONESBORO, AR                                     GSE  S01850000726200092985011239001396800AR031ARKANSAS                  CRAIGHEAD              2023010101850002022"
"2290000000FORT SMITH, AR-OK                                 GSE  S01520000726200092985011239001396800AR033ARKANSAS                  CRAWFORD               2023010101750002020"
"3282000000MEMPHIS, TN-MS-AR                                 GSE  S03030000726200092985011239001396800AR035ARKANSAS                  CRITTENDEN             2023010103030002022"
9999900000NON-METRO                                         GSE  S01110000726200092985011239001396800AR037ARKANSAS                  CROSS                  2023010101110002022
9999900000NON-METRO                                         GSE  S00560000726200092985011239001396800AR039ARKANSAS                  DALLAS                 2023010100830002008
9999900000NON-METRO                                         GSE  S00780000726200092985011239001396800AR041ARKANSAS                  DESHA                  2023010100780002022
9999900000NON-METRO                                         GSE  S01400000726200092985011239001396800AR043ARKANSAS                  DREW                   2023010101400002022
"3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          GSE  S02080000726200092985011239001396800AR045ARKANSAS                  FAULKNER               2023010102080002022"
"2290000000FORT SMITH, AR-OK                                 GSE  S01520000726200092985011239001396800AR047ARKANSAS                  FRANKLIN               2023010101750002020"
9999900000NON-METRO                                         GSE  S00950000726200092985011239001396800AR049ARKANSAS                  FULTON                 2023010101080002019
"2630000000HOT SPRINGS, AR                                   GSE  S01750000726200092985011239001396800AR051ARKANSAS                  GARLAND                2023010101750002022"
"3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          GSE  S02080000726200092985011239001396800AR053ARKANSAS                  GRANT                  2023010102080002022"
"3750000000PARAGOULD, AR                                     GSE  S01400000726200092985011239001396800AR055ARKANSAS                  GREENE                 2023010101400002022"
"2626000000HOPE, AR                                          GSE  S00900000726200092985011239001396800AR057ARKANSAS                  HEMPSTEAD              2023010100900002022"
"3168000000MALVERN, AR                                       GSE  S01390000726200092985011239001396800AR059ARKANSAS                  HOT SPRING             2023010101390002022"
9999900000NON-METRO                                         GSE  S00860000726200092985011239001396800AR061ARKANSAS                  HOWARD                 2023010101050002019
"1290000000BATESVILLE, AR                                    GSE  S01150000726200092985011239001396800AR063ARKANSAS                  INDEPENDENCE           2023010101150002022"
9999900000NON-METRO                                         GSE  S00950000726200092985011239001396800AR065ARKANSAS                  IZARD                  2023010100970002021
9999900000NON-METRO                                         GSE  S00970000726200092985011239001396800AR067ARKANSAS                  JACKSON                2023010100970002022
"3822000000PINE BLUFF, AR                                    GSE  S01330000726200092985011239001396800AR069ARKANSAS                  JEFFERSON              2023010101330002022"
9999900000NON-METRO                                         GSE  S01460000726200092985011239001396800AR071ARKANSAS                  JOHNSON                2023010101460002022
9999900000NON-METRO                                         GSE  S00800000726200092985011239001396800AR073ARKANSAS                  LAFAYETTE              2023010100800002022
9999900000NON-METRO                                         GSE  S00670000726200092985011239001396800AR075ARKANSAS                  LAWRENCE               2023010100670002022
9999900000NON-METRO                                         GSE  S01040000726200092985011239001396800AR077ARKANSAS                  LEE                    2023010101220002020
