fha_loans,state_abbr,state,,county_name,median_home_value,gse_type,gse_1,gse_2,gse_3,gse_4," gse_1,gse_2,gse_3,gse_4, ",limit_type,fha_1,fha_2,fha_3,fha_4,"fha_1,fha_2,fha_3,fha_4",
AL-117,AL, ALABAMA ,117,SHELBY COUNTY,293000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","481850,616850,745650,926650"
AL-119,AL, ALABAMA ,119,SUMTER COUNTY,93000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","485300,621250,750950,933300"
AL-121,AL, ALABAMA ,121,TALLADEGA COUNTY,108000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","538200,689000,832850,1035000"
AL-123,AL, ALABAMA ,123,TALLAPOOSA COUNTY,149000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","571550,731700,884450,1099150"
AL-125,AL, ALABAMA ,125,TUSCALOOSA COUNTY,204000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","531300,680150,822150,1021750"
AL-127,AL, ALABAMA ,127,WALKER COUNTY,75000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","543950,696350,841750,1046050"
AL-129,AL, ALABAMA ,129,WASHINGTON COUNTY,145000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","601450,769950,930700,1156650"
AL-131,AL, ALABAMA ,131,WILCOX COUNTY,101000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","619850,793500,959200,1192050"
AL-133,AL, ALABAMA ,133,WINSTON COUNTY,111000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","593400,759650,918250,1141150"
AR-001,AR, ARKANSAS ,001,ARKANSAS COUNTY,85000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","575000,736100,889800,1105800"
AR-003,AR, ARKANSAS ,003,ASHLEY COUNTY,59000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","563500,721400,872000,1083650"
AR-005,AR, ARKANSAS ,005,BAXTER COUNTY,150000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","474950,608000,734950,913350"
AR-007,AR, ARKANSAS ,007,BENTON COUNTY,300000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","545100,697800,843500,1048300"
AR-009,AR, ARKANSAS ,009,BOONE COUNTY,172000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","489900,627150,758100,942100"
AR-011,AR, ARKANSAS ,011,BRADLEY COUNTY,66000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","740600,948100,1146050,1424250"
AR-013,AR, ARKANSAS ,013,CALHOUN COUNTY,80000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","744050,952500,1151400,1430900"
AR-015,AR, ARKANSAS ,015,CARROLL COUNTY,155000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","763600,977550,1181650,1468500"
